algorithm,desc,actualScore,new score
NuSVC,kernel: poly,0.727272727273,0.3
NuSVC,kernel: rbf,0.727272727273,0.3
auto,minkowski-distance KNN: 2,0.727272727273,0.35
auto,euclidean-distance KNN: 2,0.727272727273,0.35
ball_tree,minkowski-distance KNN: 2,0.727272727273,0.35
ball_tree,euclidean-distance KNN: 2,0.727272727273,0.35
kd_tree,minkowski-distance KNN: 2,0.727272727273,0.35
kd_tree,euclidean-distance KNN: 2,0.727272727273,0.35
brute,minkowski-distance KNN: 2,0.727272727273,0.35
brute,euclidean-distance KNN: 2,0.727272727273,0.35
